Name,Speed,Prefab,Model,Scale,Homing,HomingTime,HomingMinDistance,HitEffect,HitEffectAtProjectile,DeathEffect,Damage,DamageEffect,Pushback,PushbackAll,PushbackShortBuff,PushbackShortBuffTime,EndHitRange,TargetEnemies,TargetAllies,TargetSelf,SpawnAreaEffectObject,SpawnCharacter,SpawnConstPriority,SpawnCharacterCount,TargetBuff,BuffTime,BuffTimeIncreasePerLevel,TrailEffect,ProjectileRadius,ProjectileStartExtraRadius,ProjectileRange,CheckCollisions,SpawnProjectile,SpawnChain,SpawnAxisX,SpawnAxisY,MinDistance,MaxDistance,ConstantHeight,ArcHeight,Gravity,Heal,ChainedHitRange,ChainedHitCount,ChainedHitEndEffect,PingpongDeathEffect,ShakesTargets,ShakesShooter,PingpongVisualTime,DragType,DragBackSpeed,DragSelfSpeed,DragBackAsAttractor,DragMargin,DragEffect,AimingEffect,TargettedEffect,AngularDelay,PingpongMovingShooter,EnergyBurned,TargetBuildings,TargetMini,TargetHero
KingtowerProjectileX,1800,,sc3d/pjt_cannonball_rig.glb,1,TRUE,0,0,generic_atkHit_musket_01,FALSE,,100,hit_colorfilter,0,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,,0,0,cannonball_trail,0,0,0,FALSE,,0,FALSE,FALSE,0,0,2000,0,0,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
TeslaProjectileX,800,,sc3d/pjt_cannonball_rig.glb,1,TRUE,0,0,generic_atkHit_musket_01,FALSE,,100,hit_colorfilter,0,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,,0,0,cannonball_trail,0,0,0,FALSE,,0,FALSE,FALSE,0,0,2000,0,20,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
HeroRCJavelinPierce,1800,,sc3d/pjt_spear_rig.glb,100,FALSE,0,0,royalchampion_prestart_hit,FALSE,,600,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,,0,0,speargoblin_def_ulti_trail,250,400,9000,FALSE,,0,FALSE,FALSE,0,0,2000,0,0,0,,0,,,TRUE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
Snowballstrikeprojectile,1200,,sc3d/pjt_pancake.glb,1,TRUE,0,0,,FALSE,,0,fireattack_hit,0,FALSE,,0,,FALSE,FALSE,FALSE,SnowballstrikeAoe,,FALSE,0,,3000,0,,0,0,0,FALSE,,0,FALSE,FALSE,0,0,0,0,20,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,ground_indicator_circle,,0,0,0,FALSE,FALSE,FALSE
Teslastrikeprojectile,800,prefabs/lavaball,,1,FALSE,0,0,fireball_smash_hit,FALSE,,0,fireattack_hit,0,FALSE,,0,,FALSE,FALSE,FALSE,TeslastrikeAoe,,FALSE,0,,3000,0,,0,0,12000,FALSE,,0,FALSE,FALSE,0,0,0,0,20,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
BowlerAttackRock,1000,,pjt_bowler_stone_rig.glb,1,FALSE,0,0,rock_hit,FALSE,rock_hit,10,,1,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,NormalStun2,1500,0,stone_trail,250,400,26000,FALSE,,0,FALSE,FALSE,0,0,0,0,0,0,,0,,,TRUE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
GoldenGiantreboundprojectile,1200,prefabs/lavaball,,1,FALSE,0,0,fireball_smash_hit,FALSE,,0,,1,FALSE,,0,,TRUE,FALSE,FALSE,,,FALSE,0,NormalStun1,3000,0,,250,400,26000,FALSE,,0,FALSE,FALSE,0,0,0,0,0,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,ground_indicator_circle,,0,0,0,FALSE,FALSE,FALSE
Fisherman_clashhook_projectile,2000,,sc3d/pjt_archer_arrow.glb,100,TRUE,0,0,,FALSE,,0,archer_def_atk_hit,0,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,GrabB,3000,0,arrow_trail,0,0,0,FALSE,,0,FALSE,FALSE,0,0,2000,0,20,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
Grab_projectile,2000,,sc3d/pjt_archer_arrow.glb,100,TRUE,0,0,,FALSE,,0,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,FishermanStun1,3500,0,arrow_trail,0,0,0,FALSE,,0,FALSE,FALSE,0,0,2000,0,20,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
TrapProjectile,800,,,1,TRUE,0,0,,FALSE,,0,generic_atkHit_blunt_01,4,FALSE,,0,,TRUE,FALSE,FALSE,,,FALSE,0,Startrapflip,1000,0,,0,0,0,FALSE,,0,FALSE,FALSE,0,0,0,0,20,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
DragonStatueprojectile,500,prefabs/lavaball,,1,FALSE,0,0,fireball_smash_hit,FALSE,,0,,0,FALSE,,0,,FALSE,FALSE,FALSE,DragonStatuestrikeAoe,,FALSE,0,,3000,0,,0,0,0,FALSE,,0,FALSE,FALSE,0,0,0,0,20,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
Pancakerstrikeprojectile,1200,,sc3d/pjt_pancake.glb,100,TRUE,0,0,heal_hit,FALSE,,0,fireattack_hit,0,FALSE,,0,,FALSE,TRUE,FALSE,,,FALSE,0,Pancakerbuff,3000,0,arrow_trail,0,0,0,FALSE,,0,FALSE,FALSE,0,0,0,0,60,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
Rocketprojectile,200,,sc3d/pjt_rocket_rig.glb,100,FALSE,0,0,fireball_smash_hit,FALSE,,0,,0,FALSE,,0,,TRUE,FALSE,FALSE,RocketstrikeAoe,,FALSE,0,,3000,0,lavaball_rock_projectile,0,0,20000,FALSE,,0,FALSE,FALSE,0,0,0,0,10,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
PotterProjectile,500,prefabs/lavafire,,1,FALSE,0,0,fireball_hit,FALSE,,1,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,NormalStun1,2000,0,,0,0,6000,FALSE,,0,FALSE,FALSE,0,0,0,0,10,0,,0,,,TRUE,0,0,0,0,0,FALSE,0,,ground_indicator_circle_small,,0,0,0,FALSE,FALSE,FALSE
Rocketattackprojectile,300,,sc3d/pjt_rocket_rig.glb,100,FALSE,0,0,gizmo_rocket_hit,FALSE,,0,,0,FALSE,,0,,FALSE,FALSE,FALSE,RocketstrikeAoe,,FALSE,0,,3000,0,gizmo_rocket_projectile_trail,0,0,0,FALSE,,0,FALSE,FALSE,0,0,1000,0,10,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,gizmo_rocket_targeting,,0,0,0,FALSE,FALSE,FALSE
HeroRCShieldThrowProjectile,1600,,sc3d/pjt_royalchampian_shield.glb,1,FALSE,0,0,royalchampion_shield_hit_effect,FALSE,,200,,0,FALSE,,0,,TRUE,FALSE,FALSE,,,FALSE,0,NormalStun1,750,0,royalchampion_shield_trail_blue,250,400,12000,TRUE,,0,FALSE,FALSE,0,0,2000,0,0,0,Manhattan3,2,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
Forestgoddess_heal_projectile,1000,prefabs/pjt_natureborn_heal,,100,TRUE,0,0,,FALSE,,0,,0,FALSE,,0,,FALSE,TRUE,FALSE,Forestgoddess_heal_AOE,,FALSE,0,,0,0,,0,0,0,FALSE,,0,FALSE,FALSE,0,0,5000,0,0,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
ForestGoddessPushbackProjectile,2400,,,1,TRUE,0,0,,FALSE,,200,fx/effects/natureborn_prj_hit,2,FALSE,,0,,TRUE,FALSE,FALSE,,,FALSE,0,,0,0,natureborn_prj_trail,0,0,0,FALSE,,0,FALSE,FALSE,0,0,2000,0,0,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
ForestGoddessAttackProjectile,1800,,,1,TRUE,0,0,,FALSE,,100,fx/effects/natureborn_prj_hit,0,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,,0,0,natureborn_prj_trail,0,0,0,FALSE,,0,FALSE,FALSE,0,0,2000,0,0,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
ForestgoddessDear_heal_projectile,1000,prefabs/pjt_natureborn_heal,,1,TRUE,0,0,,FALSE,,0,,0,FALSE,,0,,FALSE,TRUE,FALSE,Forestgoddess_heal_AOE,,FALSE,0,,0,0,,0,0,0,FALSE,,0,FALSE,FALSE,0,0,1000,0,0,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
ForestGoddessDeerPushbackProjectile,2400,,,1,TRUE,0,0,bigcannonball_hit,FALSE,,200,,2,FALSE,,0,,TRUE,FALSE,FALSE,,,FALSE,0,,0,0,cannonball_trail_special,0,0,0,FALSE,,0,FALSE,FALSE,0,0,2000,0,0,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
ForestGoddessDeerAttackProjectile,1800,,,1,TRUE,0,0,generic_atkHit_musket_01,FALSE,,100,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,,0,0,cannonball_trail,0,0,0,FALSE,,0,FALSE,FALSE,0,0,2000,0,0,0,,0,,,FALSE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
HeadHunterB1Projectile,1800,,sc3d/pjt_magicarrow_rig.glb,1,TRUE,0,0,healingspear_normal_hit,FALSE,,140,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,FALSE,0,,0,0,healingspear_trail01,0,0,0,FALSE,,0,FALSE,FALSE,0,0,2000,0,0,0,,0,,,TRUE,0,0,0,0,0,FALSE,0,,,,0,0,0,FALSE,FALSE,FALSE
WizardB4Projectile,1500,,,1,TRUE,0,0,fx/effects/wizard_def_atk_hit_fireball_wabbit,FALSE,,1,fx/effects/wizard_def_atk_hit_fireball_wabbit,0,FALSE,,0,Cross1,FALSE,FALSE,FALSE,,,,,,0,,wizard_def_atk_trail_fireball,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
WizardB3ProjectileExpand,1500,,,1,TRUE,0,0,fx/effects/wizard_def_atk_hit_fireball_a2,FALSE,,1,wizard_def_atk_hit_fireball,0,FALSE,,0,Cross2,FALSE,FALSE,FALSE,,,,,,0,,wizard_def_atk_trail_fireball,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,,0,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
HeroRoyalChampionBounceProjectile,1600,,sc3d/pjt_royalchampian_shield.glb,1,TRUE,0,0,royalchampion_shield_hit_effect,FALSE,,200,,0,FALSE,,0,,FALSE,FALSE,FALSE,,,,,,0,,royalchampion_shield_trail_blue,0,0,0,FALSE,,0,,,0,0,2000,0,0,0,Manhattan3,2,,,,,,0,0,0,FALSE,0,,,,,,0,FALSE,FALSE,FALSE
